Subsystem 3	FAME000001_good_out_R1.fastq	FAME000002_good_out_R1.fastq	FAME000003_good_out_R1.fastq	FAME000004_good_out_R1.fastq	FAME000005_good_out_R1.fastq	FAME000006_good_out_R1.fastq	FAME000007_good_out_R1.fastq	FAME000008_good_out_R1.fastq	FAME000009_good_out_R1.fastq	FAME000010_good_out_R1.fastq	FAME000011_good_out_R1.fastq	FAME000012_good_out_R1.fastq	FAME000013_good_out_R1.fastq	FAME000014_good_out_R1.fastq	FAME000015_good_out_R1.fastq	FAME000016_good_out_R1.fastq	FAME000017_good_out_R1.fastq	FAME000018_good_out_R1.fastq	FAME000019_good_out_R1.fastq	FAME000020_good_out_R1.fastq	FAME000022_good_out_R1.fastq	FAME000023_good_out_R1.fastq
CytR regulation	2339.0	1618.0	4177.0	2673.0	4592.0	2924.0	2495.0	3330.0	2818.0	3963.0	2289.0	1811.0	3844.0	4913.0	2932.0	4258.0	2919.0	4653.0	3674.0	4109.0	3534.0	1873.0
Cytolethal distending toxin of Campylobacter jejuni	1.0	0.0	1.0	0.0	7.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	2.0	6.0	0.0	3.0	0.0	5.0	0.0	10.0	1.0	0.0
Cytolethal distending toxins	188.0	77.0	226.0	201.0	346.0	692.0	184.0	234.0	188.0	285.0	531.0	31.0	320.0	376.0	216.0	325.0	193.0	292.0	281.0	250.0	197.0	148.0
Cytolysin and Lipase operon in Vibrio	224.0	2.0	10.0	0.0	201.0	2.0	100.0	355.0	0.0	362.0	2.0	0.0	485.0	415.0	2.0	648.0	1.0	680.0	1.0	599.0	559.0	0.0
D-Alanyl Lipoteichoic Acid Biosynthesis	2562.0	14.0	863.0	24.0	2922.0	3933.0	596.0	2165.0	24.0	2621.0	2939.0	2064.0	2800.0	2769.0	13.0	1305.0	29.0	1401.0	5.0	1647.0	1515.0	9.0
D-Galacturonate and D-Glucuronate Utilization	41670.0	23698.0	63253.0	38265.0	79498.0	37918.0	38374.0	52550.0	38661.0	63614.0	26070.0	26111.0	61922.0	77770.0	42544.0	65583.0	44050.0	70303.0	55852.0	61873.0	53492.0	23639.0
D-Sorbitol(D-Glucitol) and L-Sorbose Utilization	8552.0	7526.0	13851.0	2073.0	19488.0	5036.0	5281.0	12471.0	2313.0	15341.0	4225.0	3364.0	14407.0	16798.0	6576.0	14931.0	2141.0	16647.0	2552.0	14377.0	13159.0	1895.0
D-Tagatose and Galactitol Utilization	7961.0	1079.0	10406.0	8940.0	13162.0	2734.0	3536.0	8557.0	9376.0	10596.0	1382.0	4504.0	9552.0	11897.0	1759.0	10178.0	1796.0	10483.0	2554.0	9690.0	9784.0	6134.0
D-allose utilization	1758.0	15.0	1691.0	21.0	3804.0	5.0	892.0	2446.0	27.0	3193.0	9.0	4257.0	2852.0	3110.0	15.0	2396.0	38.0	3396.0	8.0	2391.0	2978.0	20.0
D-galactarate, D-glucarate and D-glycerate catabolism	15422.0	10307.0	24327.0	18323.0	30947.0	16809.0	16635.0	20983.0	17969.0	25999.0	10995.0	12175.0	25674.0	31539.0	18486.0	26344.0	20106.0	28472.0	20697.0	24243.0	21697.0	12539.0
D-galactarate, D-glucarate and D-glycerate catabolism - gjo	15775.0	10767.0	25317.0	18899.0	31735.0	16872.0	17080.0	21581.0	18533.0	26710.0	11014.0	12287.0	26411.0	32426.0	18915.0	27213.0	20698.0	29392.0	22922.0	25048.0	22296.0	12898.0
D-galactonate catabolism	5964.0	7121.0	9614.0	9332.0	13684.0	12653.0	2684.0	7993.0	239.0	9843.0	35.0	7139.0	9034.0	10508.0	9854.0	8310.0	10002.0	9949.0	12826.0	8352.0	8259.0	53.0
D-gluconate and ketogluconates metabolism	28053.0	15445.0	37145.0	21649.0	50725.0	33976.0	23092.0	34331.0	22174.0	42059.0	19541.0	31271.0	42986.0	50637.0	28919.0	42036.0	23243.0	46509.0	24105.0	40634.0	36577.0	16044.0
D-glucosaminate utilization	4298.0	2431.0	5730.0	3951.0	7531.0	6080.0	4307.0	5510.0	4390.0	6952.0	4060.0	3591.0	6961.0	8612.0	4734.0	7791.0	3957.0	8425.0	5763.0	7091.0	6129.0	2654.0
D-nopaline catabolic operon	4.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	5.0	3.0	0.0	4.0	0.0	7.0	0.0	2.0	4.0	0.0
D-ribose utilization	26886.0	12722.0	34334.0	26860.0	47350.0	25710.0	25617.0	31786.0	27492.0	39722.0	17082.0	14845.0	39072.0	46984.0	28076.0	40726.0	28643.0	46027.0	27005.0	38969.0	35594.0	18019.0
D-tyrosyl-tRNA(Tyr) deacylase	540.0	267.0	481.0	371.0	867.0	454.0	351.0	610.0	388.0	751.0	257.0	4.0	833.0	906.0	361.0	610.0	369.0	752.0	926.0	692.0	691.0	268.0
DNA Repair Base Excision	28032.0	13513.0	32127.0	20270.0	46032.0	32172.0	22396.0	33482.0	21346.0	40928.0	19260.0	13491.0	43835.0	49273.0	23351.0	40490.0	22195.0	45075.0	31825.0	38576.0	36160.0	15459.0
DNA phosphorothioation	241.0	6.0	173.0	6.0	381.0	6.0	64.0	202.0	6408.0	192.0	2.0	1.0	218.0	287.0	9.0	328.0	7825.0	406.0	5.0	352.0	273.0	8.0
DNA processing cluster	8243.0	3392.0	9712.0	5750.0	13448.0	9937.0	6445.0	10006.0	5994.0	12419.0	4886.0	4348.0	13105.0	14931.0	6641.0	12898.0	6084.0	14229.0	9069.0	11931.0	11051.0	3450.0
DNA repair, UvrABC system	17381.0	5080.0	16616.0	9475.0	26176.0	17481.0	11366.0	19289.0	9793.0	23793.0	9603.0	6858.0	26372.0	28363.0	17884.0	21507.0	9971.0	23734.0	13245.0	21375.0	20702.0	8237.0
DNA repair, bacterial	42635.0	17823.0	47747.0	26006.0	68966.0	36560.0	34811.0	51287.0	27982.0	61736.0	25156.0	21528.0	66019.0	73227.0	31714.0	63946.0	29954.0	69819.0	42527.0	60809.0	56169.0	19988.0
DNA repair, bacterial DinG and relatives	5995.0	2469.0	6761.0	3709.0	9760.0	5490.0	4696.0	6863.0	3908.0	8585.0	4393.0	4071.0	9053.0	9734.0	4438.0	9211.0	3981.0	10021.0	3452.0	8486.0	7561.0	2337.0
DNA repair, bacterial MutL-MutS system	10118.0	3184.0	8663.0	4876.0	14800.0	8623.0	6043.0	10281.0	5128.0	12720.0	5013.0	398.0	13877.0	15474.0	5703.0	11389.0	5417.0	12899.0	8049.0	11682.0	10855.0	3216.0
DNA repair, bacterial RecBCD pathway	18713.0	10234.0	23699.0	15968.0	32071.0	18536.0	17243.0	24622.0	16821.0	30288.0	14086.0	9015.0	31932.0	35666.0	18439.0	32313.0	17609.0	35011.0	23001.0	29489.0	27334.0	10845.0
DNA repair, bacterial RecFOR pathway	17165.0	5418.0	17238.0	8782.0	26583.0	14792.0	11098.0	19582.0	9034.0	23780.0	9237.0	9006.0	24998.0	27657.0	10197.0	23037.0	10114.0	25804.0	9299.0	23108.0	21455.0	9231.0
DNA repair, bacterial UmuCD system	12268.0	1954.0	12262.0	5037.0	22114.0	9590.0	6660.0	15645.0	3035.0	18780.0	5102.0	6087.0	19308.0	19766.0	11764.0	16654.0	6129.0	18567.0	9480.0	15605.0	15673.0	3678.0
DNA repair, bacterial UvrD and related helicases	13094.0	5820.0	16934.0	9826.0	22377.0	13516.0	11803.0	16460.0	10219.0	20084.0	8910.0	7120.0	21337.0	24460.0	11150.0	21168.0	10520.0	23830.0	14179.0	20429.0	18822.0	8727.0
DNA repair, bacterial photolyase	1490.0	844.0	2188.0	1427.0	2995.0	1678.0	1504.0	2217.0	1448.0	2779.0	1467.0	1076.0	2996.0	3183.0	1673.0	2886.0	1533.0	3240.0	2254.0	2572.0	2424.0	888.0
DNA replication, archaeal	1123.0	671.0	1319.0	749.0	1798.0	1100.0	866.0	1315.0	759.0	1550.0	781.0	346.0	1587.0	1829.0	979.0	1569.0	815.0	1754.0	1047.0	1453.0	1432.0	833.0
DNA structural proteins, bacterial	8505.0	3989.0	12378.0	7258.0	15130.0	8523.0	8005.0	11326.0	7391.0	13363.0	6728.0	6065.0	13454.0	15525.0	8039.0	15259.0	7354.0	16752.0	10488.0	13942.0	12334.0	4288.0
DNA topoisomerases, Type I, ATP-independent	6181.0	2087.0	6449.0	3428.0	9641.0	4592.0	4225.0	7139.0	3467.0	8563.0	3010.0	1985.0	9051.0	9869.0	4153.0	9272.0	3742.0	10151.0	5314.0	8972.0	7949.0	2192.0
DNA topoisomerases, Type II, ATP-dependent	20542.0	7660.0	20203.0	12279.0	30991.0	19619.0	14295.0	23781.0	12492.0	28852.0	11632.0	9730.0	31569.0	34520.0	13865.0	27230.0	13584.0	30871.0	17180.0	26987.0	26080.0	8317.0
DNA-binding regulatory proteins, strays	16276.0	7300.0	23754.0	10334.0	32864.0	17703.0	13058.0	22328.0	10716.0	28373.0	11412.0	10074.0	28396.0	31310.0	12731.0	26445.0	11467.0	28848.0	18647.0	24033.0	22970.0	7464.0
DNA-replication	92711.0	43947.0	103056.0	60370.0	148966.0	85127.0	68209.0	108791.0	60992.0	133597.0	54213.0	41191.0	141641.0	160097.0	69943.0	132987.0	63592.0	147296.0	96193.0	128332.0	120160.0	45241.0
De Novo Purine Biosynthesis	30997.0	10757.0	31283.0	17786.0	48842.0	31697.0	21525.0	34856.0	18242.0	43563.0	18626.0	13448.0	47212.0	50837.0	20141.0	41034.0	18956.0	45458.0	25615.0	39453.0	37586.0	11791.0
De Novo Pyrimidine Synthesis	26449.0	11821.0	26167.0	16004.0	41268.0	27031.0	18353.0	29577.0	17085.0	36436.0	14779.0	11306.0	38869.0	43274.0	18952.0	33042.0	17497.0	36349.0	23977.0	32186.0	30645.0	13982.0
Dehydrogenase complexes	30033.0	13049.0	31981.0	18168.0	48138.0	32480.0	22266.0	36847.0	18721.0	44888.0	17098.0	12907.0	48951.0	52390.0	20822.0	43749.0	19533.0	48701.0	27472.0	42751.0	40378.0	15808.0
Denitrification	622.0	3.0	134.0	3.0	484.0	865.0	230.0	597.0	5.0	720.0	5.0	2.0	989.0	777.0	6.0	1046.0	9.0	1143.0	6.0	1184.0	1028.0	8.0
Deoxyribose and Deoxynucleoside Catabolism	18571.0	7892.0	18246.0	12892.0	27555.0	15190.0	13732.0	20941.0	12930.0	25408.0	9732.0	6787.0	26670.0	30258.0	10465.0	27255.0	13518.0	29908.0	14531.0	27114.0	24298.0	10537.0
Diadenylate cyclase cluster	222.0	0.0	11.0	0.0	191.0	110.0	38.0	112.0	0.0	152.0	2.0	0.0	173.0	186.0	0.0	48.0	1.0	58.0	0.0	107.0	110.0	0.0
Dihydroxyacetone kinases	16954.0	5271.0	18526.0	8052.0	28284.0	9979.0	10301.0	19172.0	8031.0	23381.0	6799.0	4328.0	23286.0	27513.0	7403.0	23609.0	9021.0	26156.0	10912.0	23582.0	20616.0	4514.0
Dimethylarginine metabolism	142.0	4.0	42.0	1.0	245.0	1583.0	84.0	157.0	3.0	304.0	3.0	1.0	306.0	176.0	6.0	118.0	2.0	185.0	0.0	84.0	223.0	2.0
Dimethylsulfoniopropionate (DMSP) mineralization, WBW	1524.0	13.0	472.0	10.0	2308.0	2323.0	882.0	2876.0	19.0	4413.0	16.0	3.0	6133.0	3892.0	26.0	1438.0	19.0	2235.0	16.0	1248.0	3668.0	7.0
Dimethylsulfoniopropionate (DMSP) mineralization, gjo	1524.0	13.0	472.0	10.0	2308.0	2323.0	882.0	2876.0	19.0	4413.0	16.0	3.0	6133.0	3892.0	26.0	1438.0	19.0	2235.0	16.0	1248.0	3668.0	7.0
Diphthamide biosynthesis	64.0	30.0	88.0	36.0	114.0	115.0	42.0	75.0	30.0	87.0	71.0	5.0	119.0	126.0	78.0	142.0	51.0	145.0	112.0	128.0	104.0	19.0
Dissimilatory nitrite reductase	3046.0	2332.0	4083.0	3502.0	5508.0	4969.0	3528.0	4405.0	3632.0	5412.0	3101.0	3208.0	5901.0	6685.0	4240.0	6251.0	4082.0	6890.0	3261.0	5847.0	5348.0	2318.0
Dot-Icm type IV secretion system	141.0	0.0	2.0	1.0	5.0	0.0	1.0	5.0	0.0	18.0	0.0	0.0	5.0	7.0	0.0	4.0	0.0	5.0	0.0	1.0	2.0	0.0
EC 2.7.1.- Phosphotransferases with an alcohol group as acceptor	4290.0	1255.0	3466.0	1405.0	5763.0	2242.0	1926.0	3698.0	1488.0	4594.0	1229.0	2634.0	4745.0	5362.0	1927.0	4203.0	1520.0	4599.0	3797.0	4437.0	3904.0	993.0
EC 3.13.1.- Hydrolases acting on carbon-sulfur bonds	2.0	1.0	1.0	0.0	3.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	3.0	1.0	1.0	1.0	1.0	0.0	1.0	2.0
EC 3.4.11.- Aminopeptidases	13581.0	7358.0	17007.0	11005.0	23305.0	16682.0	12506.0	18261.0	11183.0	22543.0	9993.0	9219.0	24247.0	26763.0	13137.0	24927.0	11943.0	26734.0	19366.0	22449.0	20722.0	7815.0
EC 3.4.13.- Dipeptidases	4793.0	2430.0	7010.0	3621.0	8708.0	4639.0	3964.0	6398.0	3899.0	7531.0	3484.0	3354.0	7397.0	9274.0	3954.0	8753.0	3848.0	9577.0	5161.0	8326.0	7146.0	3008.0
EC 3.4.17.- Metallocarboxypeptidases	6144.0	2002.0	7634.0	4103.0	10407.0	4661.0	4928.0	7235.0	4084.0	8972.0	2814.0	2949.0	8881.0	10114.0	4758.0	9682.0	4373.0	10510.0	8299.0	8986.0	8053.0	2598.0
EC 3.4.19.- Omega peptidases	906.0	84.0	1130.0	1203.0	1681.0	331.0	1036.0	864.0	1222.0	1170.0	8.0	664.0	1085.0	1259.0	1691.0	1120.0	1250.0	1245.0	2202.0	947.0	1029.0	725.0
EC 3.4.21.- Serine endopeptidase	826.0	4.0	193.0	7.0	804.0	15.0	352.0	884.0	8.0	1041.0	10.0	1337.0	1272.0	1140.0	6.0	1598.0	13.0	1772.0	8.0	1516.0	1418.0	4.0
EC 3.4.24.- Metalloendopeptidases	1385.0	1.0	54.0	3.0	941.0	64.0	508.0	1469.0	0.0	1678.0	2.0	2.0	2003.0	1891.0	6.0	2805.0	6.0	3214.0	6.0	2820.0	2476.0	2.0
EC 4. 1. 1.- Carboxy-lyases	7912.0	4228.0	12908.0	4347.0	16387.0	7827.0	5710.0	11177.0	4427.0	13077.0	5816.0	4713.0	12749.0	15519.0	5175.0	14027.0	4762.0	15137.0	6374.0	12859.0	11082.0	4364.0
EC 4.1.2.- Aldehyde-lyases	8186.0	3179.0	8618.0	3978.0	13183.0	5225.0	4925.0	8517.0	4112.0	10568.0	2076.0	6060.0	10695.0	12467.0	4139.0	10133.0	4170.0	11098.0	5652.0	10233.0	9145.0	2977.0
EC 4.1.3.- Oxo-acid-lyases	9611.0	3978.0	13297.0	5567.0	17793.0	8513.0	7165.0	12359.0	5763.0	15573.0	6296.0	7861.0	15698.0	18247.0	5773.0	16230.0	5880.0	17296.0	9535.0	14586.0	13123.0	3815.0
EC 5.1.2.- Racemaces and epimerases acting on hydroxy acids and derivatives	265.0	1.0	287.0	3.0	416.0	4.0	122.0	314.0	0.0	427.0	1.0	2.0	406.0	408.0	1.0	330.0	9.0	369.0	2.0	313.0	320.0	3.0
EC 6.3.4.- Ligases that form carbon-nitrogen bonds	19190.0	9350.0	21258.0	14558.0	30788.0	17205.0	15576.0	23133.0	15443.0	28206.0	10740.0	15885.0	30373.0	34152.0	16957.0	27606.0	15536.0	30653.0	19615.0	26475.0	25163.0	10123.0
EC 6.4.1.- Ligases that form carbon-carbon bonds	11994.0	3055.0	8670.0	4597.0	16695.0	9836.0	6425.0	11888.0	4470.0	15170.0	4457.0	3799.0	17433.0	17822.0	4929.0	11860.0	4873.0	13823.0	6697.0	12295.0	12863.0	3424.0
EC699-706	8029.0	3982.0	13720.0	7937.0	16637.0	8428.0	8259.0	11511.0	8443.0	14287.0	6182.0	6625.0	14397.0	16854.0	9632.0	15072.0	8506.0	15863.0	12215.0	12878.0	12077.0	5029.0
ECF class transporters	5411.0	34.0	3850.0	31.0	6850.0	1441.0	1135.0	3804.0	37.0	4591.0	16.0	20.0	4855.0	5995.0	2967.0	3853.0	69.0	4268.0	19.0	4712.0	3597.0	23.0
ESAT-6 proteins secretion system in Firmicutes	359.0	10.0	50.0	21.0	349.0	4524.0	124.0	346.0	36.0	510.0	5.0	51.0	568.0	557.0	44.0	247.0	32.0	241.0	4.0	277.0	361.0	6.0
ESAT-6 proteins secretion system in Mycobacteria (locus ESX-1)	3.0	1.0	0.0	0.0	1.0	3.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	2.0	1.0	0.0	0.0	2.0	1.0	2.0
Ectoine biosynthesis and regulation	4.0	1.0	1.0	3.0	6.0	4.0	4.0	12.0	1.0	14.0	1.0	2.0	27.0	6.0	1.0	6.0	0.0	11.0	7.0	16.0	7.0	0.0
Entner-Doudoroff Pathway	51473.0	22462.0	64720.0	39114.0	89447.0	56394.0	42229.0	60720.0	40882.0	74323.0	35741.0	26731.0	75682.0	89022.0	43748.0	74981.0	42051.0	81055.0	47924.0	71911.0	63315.0	28177.0
Ergothioneine Cyano	905.0	91.0	1025.0	169.0	1298.0	206.0	509.0	1195.0	219.0	1384.0	116.0	498.0	1558.0	1757.0	2805.0	1929.0	234.0	1988.0	225.0	1876.0	1575.0	112.0
Erythritol utilization	21.0	0.0	20.0	0.0	94.0	1.0	19.0	97.0	0.0	176.0	0.0	1.0	60.0	80.0	2.0	92.0	1.0	156.0	1.0	95.0	106.0	0.0
Erythromycin resistance	4.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	9.0	0.0	0.0	16.0	7.0	0.0	4.0	2.0	2.0	0.0	7.0	7.0	0.0
Ethanolamine utilization	5781.0	1068.0	3690.0	2152.0	8235.0	5319.0	3497.0	6520.0	2261.0	8230.0	3436.0	3826.0	9426.0	9053.0	2436.0	6603.0	2488.0	7638.0	2649.0	6605.0	7343.0	1564.0
Ethylmalonyl-CoA pathway of C2 assimilation	17.0	7.0	11.0	13.0	25.0	25.0	15.0	26.0	11.0	26.0	19.0	8.0	60.0	29.0	12.0	33.0	16.0	44.0	11.0	32.0	26.0	8.0
Ethylmalonyl-CoA pathway of C2 assimilation, GJO	16.0	4.0	11.0	11.0	20.0	14.0	13.0	17.0	8.0	24.0	8.0	8.0	39.0	26.0	13.0	32.0	17.0	43.0	9.0	28.0	19.0	7.0
Exopolysaccharide Biosynthesis	5758.0	801.0	5363.0	8337.0	8165.0	4283.0	4608.0	5103.0	8588.0	6448.0	211.0	1276.0	7143.0	7626.0	5496.0	6281.0	9080.0	6059.0	550.0	6793.0	5677.0	9231.0
Experimental ThMP RZ	1785.0	912.0	4030.0	1839.0	4117.0	2173.0	1846.0	2646.0	2056.0	3123.0	1408.0	647.0	3033.0	4299.0	2120.0	3775.0	2134.0	3868.0	2119.0	3487.0	2916.0	1249.0
Extracellular Polysaccharide Biosynthesis of Streptococci	935.0	0.0	51.0	1.0	609.0	10.0	49.0	177.0	11.0	274.0	2.0	6.0	337.0	223.0	3.0	98.0	11.0	107.0	2.0	218.0	230.0	2.0
F0F1-type ATP synthase	18257.0	8157.0	19910.0	13967.0	28395.0	19848.0	13797.0	21398.0	14149.0	26167.0	13140.0	8536.0	28044.0	31870.0	15147.0	25095.0	15409.0	28252.0	20266.0	25707.0	23804.0	9727.0
F1453 mlsummers	5.0	1.0	9.0	2.0	22.0	42.0	4.0	8.0	1.0	10.0	1.0	0.0	11.0	7.0	0.0	11.0	0.0	3.0	0.0	10.0	9.0	1.0
F420 bobik	1.0	3.0	5.0	5.0	2.0	4.0	6.0	4.0	3.0	1.0	3.0	2.0	5.0	1.0	7.0	4.0	0.0	0.0	1.0	0.0	1.0	2.0
FOL Commensurate regulon activation	18406.0	13168.0	33880.0	18101.0	40756.0	18486.0	18460.0	26164.0	18924.0	31297.0	16414.0	9501.0	28740.0	37791.0	20695.0	33192.0	19554.0	34956.0	25422.0	30026.0	24993.0	12711.0
Fatty Acid Biosynthesis FASI	1.0	1.0	11.0	1.0	2.0	3.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	5.0	2.0	0.0	2.0	0.0	4.0	0.0	2.0
Fatty Acid Biosynthesis FASII	30883.0	10601.0	31146.0	21195.0	50252.0	37967.0	23744.0	36277.0	19881.0	46322.0	16369.0	23316.0	50386.0	52075.0	22212.0	42257.0	22312.0	46831.0	27712.0	39907.0	40206.0	14097.0
Fatty acid degradation regulons	11296.0	5470.0	17248.0	7812.0	22232.0	8692.0	9524.0	15957.0	8283.0	19584.0	7906.0	6180.0	20008.0	22472.0	10301.0	19415.0	8812.0	21578.0	14335.0	18202.0	17185.0	6158.0
Fe(III) respiration - Shewanella type	21.0	0.0	0.0	0.0	38.0	0.0	15.0	30.0	0.0	57.0	0.0	0.0	88.0	29.0	1.0	97.0	0.0	90.0	0.0	79.0	60.0	0.0
Fe-S cluster assembly	17543.0	7275.0	19499.0	12014.0	28803.0	15616.0	13482.0	19627.0	12414.0	24218.0	10319.0	3971.0	25448.0	28637.0	14199.0	23918.0	12852.0	26525.0	19943.0	23139.0	20901.0	7997.0
FeFe hydrogenase maturation	8.0	1.0	1.0	0.0	1.0	0.0	2.0	7.0	0.0	5.0	3.0	0.0	19.0	4.0	0.0	8.0	0.0	11.0	0.0	6.0	16.0	6.0
Fermentations: Lactate	23631.0	7726.0	24801.0	10364.0	39250.0	12923.0	14238.0	25227.0	11064.0	31562.0	9898.0	9984.0	31751.0	36418.0	13813.0	29918.0	11605.0	32122.0	14546.0	29431.0	26405.0	8038.0
Fermentations: Mixed acid	49279.0	21952.0	59422.0	35186.0	85506.0	40483.0	38909.0	59823.0	36470.0	72803.0	32661.0	19313.0	74526.0	86111.0	31499.0	74492.0	38108.0	80794.0	43767.0	70112.0	63523.0	25595.0
Ferrous iron transporter EfeUOB, low-pH-induced	3028.0	1663.0	5435.0	3157.0	6590.0	4893.0	3306.0	4149.0	3168.0	5146.0	2862.0	4070.0	4932.0	5943.0	3496.0	5527.0	3240.0	5783.0	4492.0	4799.0	4128.0	1881.0
Flagellar motility	20764.0	9849.0	34699.0	20168.0	35985.0	28993.0	21678.0	30433.0	20592.0	36904.0	23245.0	13758.0	42540.0	46353.0	22970.0	50462.0	21541.0	50506.0	20744.0	46919.0	36200.0	15980.0
Flagellum	40352.0	18669.0	67303.0	30955.0	70810.0	43397.0	35219.0	56231.0	29563.0	66745.0	32603.0	23908.0	74780.0	86199.0	34483.0	95430.0	31779.0	95758.0	47508.0	89706.0	65529.0	19697.0
Flagellum in Campylobacter	7732.0	3059.0	7403.0	3719.0	11884.0	7448.0	5033.0	8902.0	3925.0	10862.0	3559.0	3907.0	12264.0	12775.0	4227.0	10742.0	4053.0	11909.0	3226.0	10836.0	9765.0	3327.0
Flavocytochrome C	13.0	0.0	38.0	0.0	36.0	0.0	3.0	13.0	0.0	22.0	0.0	0.0	21.0	18.0	0.0	42.0	0.0	61.0	1.0	34.0	27.0	1.0
Flavodoxin	4428.0	2221.0	5307.0	3882.0	7681.0	4847.0	3704.0	5626.0	3343.0	6847.0	3875.0	3675.0	6852.0	7480.0	3083.0	7034.0	3567.0	7566.0	4190.0	6608.0	5874.0	2234.0
Flavohaemoglobin	30093.0	16704.0	41676.0	23681.0	53055.0	29728.0	27887.0	40481.0	24435.0	48376.0	18173.0	13368.0	50573.0	57366.0	28086.0	53043.0	26164.0	56688.0	33816.0	48996.0	44193.0	17890.0
Folate Biosynthesis	33108.0	10172.0	28963.0	15224.0	47113.0	24964.0	20093.0	35100.0	15734.0	42236.0	14559.0	12737.0	46263.0	49396.0	17997.0	40260.0	16540.0	44100.0	20429.0	39396.0	37541.0	10640.0
FolateExerciseMaizeClassVDC	513.0	11.0	558.0	264.0	726.0	412.0	261.0	443.0	238.0	522.0	20.0	6.0	577.0	635.0	342.0	479.0	263.0	474.0	22.0	479.0	448.0	171.0
Formaldehyde assimilation: Ribulose monophosphate pathway	22260.0	8736.0	24134.0	15898.0	36186.0	19394.0	17508.0	25305.0	16591.0	31521.0	14228.0	11796.0	32551.0	36676.0	17350.0	29566.0	17503.0	32982.0	19025.0	28611.0	26725.0	10730.0
Formate dehydrogenase	10644.0	8526.0	20611.0	13601.0	23709.0	13310.0	12907.0	15296.0	14418.0	19165.0	11038.0	7472.0	18667.0	23590.0	16034.0	21319.0	14766.0	22271.0	24607.0	18766.0	15748.0	9300.0
Formate hydrogenase	38133.0	27247.0	68696.0	40288.0	82397.0	47333.0	39775.0	55103.0	41477.0	66980.0	34352.0	22547.0	66096.0	80892.0	36647.0	76236.0	43392.0	80325.0	62457.0	67344.0	58469.0	26661.0
Fosfomycin resistance	380.0	769.0	391.0	560.0	836.0	1149.0	482.0	591.0	542.0	675.0	674.0	2.0	756.0	873.0	699.0	657.0	578.0	834.0	7.0	570.0	546.0	585.0
Fratricide in Streptococcus	8.0	2.0	1.0	2.0	14.0	2.0	0.0	0.0	6.0	8.0	2.0	0.0	6.0	5.0	1.0	2.0	5.0	1.0	0.0	0.0	2.0	2.0
Fructooligosaccharides(FOS) and Raffinose Utilization	24366.0	6908.0	20197.0	12862.0	35262.0	21640.0	15083.0	22812.0	11922.0	27962.0	6938.0	12048.0	29032.0	33328.0	16653.0	24470.0	14280.0	27117.0	22288.0	25511.0	23886.0	10103.0
Fructose and Mannose Inducible PTS	490.0	4.0	113.0	3.0	557.0	6.0	141.0	355.0	19.0	460.0	8.0	2.0	522.0	580.0	6.0	233.0	13.0	257.0	2.0	297.0	335.0	1.0
Fructose utilization	22078.0	10561.0	29848.0	18523.0	38660.0	16788.0	18382.0	27307.0	18035.0	32778.0	11529.0	12636.0	33251.0	38947.0	13118.0	34651.0	19024.0	36752.0	14872.0	33118.0	29419.0	13929.0
Fructoselysine (Amadori product) utilization pathway	594.0	2.0	1590.0	2.0	1262.0	282.0	135.0	945.0	0.0	858.0	3.0	3.0	630.0	1247.0	2.0	1029.0	3.0	1003.0	0.0	1006.0	692.0	0.0
G-protein-coupled receptor (GPCR) system in Actinobacteria	2.0	0.0	2.0	4.0	3.0	0.0	3.0	2.0	1.0	3.0	1.0	1.0	3.0	1.0	3.0	2.0	0.0	2.0	4.0	3.0	0.0	0.0
GABA and putrescine metabolism from cluters	13989.0	3808.0	16303.0	4862.0	24363.0	13094.0	9162.0	17837.0	5061.0	23383.0	11119.0	5784.0	24097.0	23323.0	5886.0	23326.0	5311.0	25534.0	5978.0	21659.0	20633.0	3213.0
Galactose-inducible PTS	120.0	0.0	16.0	2.0	119.0	104.0	25.0	62.0	2.0	86.0	1.0	0.0	123.0	116.0	0.0	30.0	3.0	35.0	1.0	58.0	68.0	1.0
Galactosylceramide and Sulfatide metabolism	11329.0	4715.0	11939.0	5172.0	20567.0	9781.0	9933.0	13989.0	7051.0	16682.0	4684.0	5227.0	17162.0	19831.0	11752.0	17236.0	5379.0	19085.0	10137.0	15930.0	15154.0	6580.0
Gallic acid utilization	1778.0	16.0	1100.0	9.0	3550.0	9.0	748.0	1810.0	5.0	2648.0	12.0	5017.0	2336.0	2402.0	4.0	1545.0	10.0	2047.0	6.0	1130.0	2282.0	3.0
General Secretion Pathway	9758.0	1911.0	8429.0	3120.0	16638.0	8224.0	5892.0	12165.0	3154.0	14931.0	3285.0	2552.0	15086.0	15809.0	3950.0	15863.0	3356.0	18073.0	35.0	14801.0	14831.0	1962.0
Gentisate degradation	1470.0	361.0	3674.0	23.0	3590.0	3658.0	796.0	2547.0	16.0	3373.0	2386.0	959.0	3444.0	3790.0	16.0	3486.0	16.0	3516.0	1365.0	2943.0	2585.0	10.0
